UPS,Sku,Qty,Price,Markup Percentage,MAP,Domestic Shipping,Markup Price,Retail Price,Category
,"mrs-AU11522SM",0,,,,,,,Discontinued
,"mrs-AU11557MD",0,,,,,,,Discontinued
,"mrs-AU122401BXOD",0,,,,,,,Discontinued
,"mrs-AU122807XL",0,,,,,,,Discontinued
,"mrs-AU12422",0,,,,,,,Discontinued
,"mrs-AU12465",0,,,,,,,Discontinued
,"mrs-AU125601LG",0,,,,,,,Discontinued
,"mrs-AU125601SM",0,,,,,,,Discontinued
,"mrs-AU12602",0,,,,,,,Discontinued
,"mrs-AU174017",0,,,,,,,Discontinued
,"mrs-BA01",0,,,,,,,Discontinued
,"mrs-BA02MD",0,,,,,,,Discontinued
,"mrs-BA03LG",0,,,,,,,Discontinued
,"mrs-BA03XL",0,,,,,,,Discontinued
,"mrs-BA04WT",0,,,,,,,Discontinued
,"mrs-BA05WT",0,,,,,,,Discontinued
,"mrs-BA06BKXL",0,,,,,,,Discontinued
,"mrs-BA06WTXL",0,,,,,,,Discontinued
,"mrs-BA07GDSM",0,,,,,,,Discontinued
,"mrs-BA08SV",0,,,,,,,Discontinued
,"mrs-BA09SM",0,,,,,,,Discontinued
,"mrs-BA14",0,,,,,,,Discontinued
,"mrs-BA16",0,,,,,,,Discontinued
,"mrs-BA18",0,,,,,,,Discontinued
,"mrs-BA20",0,,,,,,,Discontinued
,"mrs-BA22",0,,,,,,,Discontinued
,"mrs-BA26",0,,,,,,,Discontinued
,"mrs-BA31",0,,,,,,,Discontinued
,"mrs-BB01BK",0,,,,,,,Discontinued
,"mrs-BB01GR",0,,,,,,,Discontinued
,"mrs-BB01PR",0,,,,,,,Discontinued
,"mrs-BB01RD",0,,,,,,,Discontinued
